net,length_um
_0005_,291.41
_0457_,289.82
_0536_,288.78
net47,288.655
_0579_,287.42
net44,287.29
_0301_,286.02
_0610_,282.98
_0094_,282.14
_0151_,281.14
_0178_,279.86
net6,278.98
_0439_,278.24
_0164_,277.28
_0506_,276.86
_0274_,276.76
_0600_,276.6
_0368_,276.24
_0289_,275.74
_0264_,275.72
regfile_inst.registers\[10\]\[7\],274.64
regfile_inst.registers\[15\]\[8\],274.02
_0063_,273.88
net29,273.66
_0115_,272.54
_0359_,272.48
_0592_,271.9
_0584_,271.28
_0021_,269.73
_0278_,267.08
_0364_,267.02
_0225_,266.46
_0627_,262.72
_0485_,262.32
_0621_,256.8
_0561_,256.2
_0072_,255.98
imem_inst.address\[22\],255.88
regfile_inst.registers\[10\]\[6\],254.74
_0317_,254.44
net78,254.44
_0363_,254.17
_0227_,253.98
_0417_,252.56
net43,252.26
_0146_,251.78
_0153_,251.68
_0497_,251.185
_0061_,251.14
_0495_,250.18
_0039_,250.16
_0113_,249.125
net55,248.875
_0496_,247.32
_0262_,246.94
_0219_,246.44
_0477_,245.52
_0624_,244.24
_0081_,244.06
_0237_,243.965
_0284_,242.72
_0549_,242.72
_0183_,242.7
_0537_,241.38
_0355_,241.14
_0088_,240.46
_0476_,240.18
_0232_,240.16
_0499_,238.88
_0452_,238.22
_0087_,235.865
_0057_,235.82
_0548_,234.8
_0426_,234.66
_0086_,234.585
_0043_,234
_0096_,232.78
imem_inst.address\[13\],232.64
_0116_,232.16
_0623_,231.58
_0554_,231.52
_0299_,230
_0214_,229.72
_0000_,227.1
net85,226.54
_0154_,225.54
_0357_,224.04
_0047_,223.94
net45,220.94
_0228_,220.92
_0578_,219.06
_0335_,218.5
_0455_,218.1
net39,216.16
_0347_,214.86
_0077_,214.22
_0288_,213.4
_0336_,211.5
_0161_,211.26
_0484_,210.065
_0049_,209.36
_0442_,205.54
net48,204.56
_0441_,204.16
_0248_,203.59
_0352_,202.66
_0487_,202.18
_0402_,201.72
_0310_,201.24
_0314_,201.06
_0634_,199.24
net57,199.24
_0118_,198.22
net25,198.02
_0024_,197.53
_0046_,195.7
_0503_,195
_0591_,192.88
_0159_,190.58
_0382_,190.32
_0031_,190.22
_0038_,189.82
_0602_,188.3
_0520_,186.42
net41,185.9
_0286_,185.12
net54,184.74
imem_inst.address\[9\],183.32
net33,181.64
net28,179.83
_0163_,178.72
net89,178.08
_0599_,177.94
_0095_,177.72
_0315_,177.08
_0231_,176.34
_0030_,174.42
_0437_,173.98
_0152_,173.56
_0443_,173.56
net40,172.22
net35,170.2
_0411_,169.2
_0593_,168.55
_0603_,168.22
_0015_,166.8
_0198_,164.14
_0281_,164.12
net26,163.76
_0008_,162.95
_0326_,160.52
net63,160.42
net61,158.9
_0330_,158.52
_0117_,158.505
_0029_,158.1
_0451_,155.3
_0529_,155.14
net80,154.88
net56,152.56
_0073_,148.705
_0266_,148.66
_0375_,147.86
_0235_,147.18
_0465_,146.44
_0631_,146.22
_0613_,143.58
_0004_,143.2
_0312_,140.9
net32,140.88
_0174_,140.26
_0044_,139.44
net23,138.75
_0255_,138.72
_0609_,138.18
_0297_,137.59
_0084_,137.16
_0128_,136.8
_0158_,135.14
_0196_,133.64
_0577_,132.1
_0102_,130.8
_0405_,128.48
_0033_,128.04
_0534_,126.925
_0080_,126.26
net49,125.48
_0068_,124.36
_0127_,123.96
_0316_,122.58
net37,122.34
net50,121.62
_0098_,120.12
net53,117.34
_0287_,117.26
_0333_,116.72
net58,115.98
net92,115.9
_0518_,115.29
_0433_,115.04
_0450_,113.46
regfile_inst.registers\[25\]\[15\],112.14
_0605_,108.36
_0378_,107.16
net64,104.08
_0062_,103.8
_0060_,102.94
net30,101.54
_0502_,97.66
_0500_,96.62
_0179_,96.57
_0017_,95.59
_0408_,93.18
net59,90.26
net87,84.86
net88,84.68
_0601_,82.04
_0607_,80.32
_0089_,79.64
net91,79.2
_0632_,79.04
_0155_,77.46
net27,76.58
_0540_,75.62
_0481_,73.74
_0034_,72.92
_0492_,72.68
_0583_,72.52
net81,72.36
_0616_,72.06
net38,68.42
imem_inst.address\[17\],67.94
net72,64.5
_0512_,61.33
_0269_,61.28
net31,60.38
net36,59.22
_0112_,53.66
net79,49.36
net70,47.26
_0625_,45.12
net75,44.2
_0028_,42.89
_0598_,42.24
net52,40.62
net24,40.58
_0011_,40.12
net34,38.97
_0394_,38.9
_0509_,38.8
_0124_,37.52
net74,34.72
_0597_,34.7
_0053_,29.58
_0041_,26.56
net67,20.74
net90,14.42
net76,13.54
net77,13.22
_0423_,9.66
_0180_,8.92
control,6.77
_0396_,6.74
an[0],5.29
an[2],5.29
seg[1],5.29
seg[3],5.29
seg[5],5.29
net65,5.26
_0427_,5.22
net86,4.42
an[1],3.93
an[3],3.93
seg[0],3.93
seg[2],3.93
seg[4],3.93
seg[6],3.93
net84,3.88
net68,3.22
