net,length_um
cpu_inst.decoder_inst.current_pc\[19\],24.31
_1021_,24.3
_0829_,24.26
_1528_,24.26
_1212_,24.22
_1869_,24.16
_1265_,24.1
_1075_,24.04
_0819_,23.96
_0609_,23.94
_1694_,23.9
_2265_,23.9
_0689_,23.86
clknet_leaf_5_clk,23.8
_1004_,23.78
_2351_,23.76
_1503_,23.7
_1567_,23.7
_1823_,23.685
_1908_,23.6
cpu_inst.regfile_inst.registers\[0\]\[12\],23.6
cpu_inst.regfile_inst.registers\[2\]\[1\],23.6
cpu_inst.regfile_inst.registers\[8\]\[17\],23.6
_2315_,23.44
_1578_,23.4
cpu_inst.regfile_inst.registers\[8\]\[28\],23.38
_0767_,23.36
_2526_,23.32
_1673_,23.3
cpu_inst.regfile_inst.registers\[0\]\[6\],23.3
_1563_,23.26
_1026_,23.24
_1414_,23.23
_0857_,23.22
_1417_,23.22
_2363_,23.18
cpu_inst.regfile_inst.registers\[7\]\[9\],23.14
cpu_inst.regfile_inst.registers\[4\]\[1\],23.1
cpu_inst.regfile_inst.registers\[25\]\[5\],23.04
_1086_,23
cpu_inst.regfile_inst.registers\[7\]\[10\],23
_2320_,22.96
cpu_inst.regfile_inst.registers\[7\]\[19\],22.96
_1603_,22.82
_1248_,22.76
_1721_,22.7
cpu_inst.regfile_inst.registers\[2\]\[23\],22.7
cpu_inst.regfile_inst.registers\[10\]\[18\],22.68
_1543_,22.62
cpu_inst.decoder_inst.current_pc\[17\],22.55
_0506_,22.52
_0540_,22.52
_1109_,22.5
cpu_inst.regfile_inst.registers\[10\]\[7\],22.44
cpu_inst.regfile_inst.registers\[8\]\[31\],22.32
_2512_,22.26
cpu_inst.regfile_inst.registers\[15\]\[20\],22.26
_0739_,22.18
_1604_,22.12
_1134_,22.1
_1599_,22.08
_2507_,22.06
net38,22.06
_1445_,22.04
cpu_inst.regfile_inst.registers\[10\]\[5\],22.02
cpu_inst.decoder_inst.current_pc\[26\],21.94
_0761_,21.9
_1058_,21.9
cpu_inst.regfile_inst.registers\[7\]\[12\],21.9
_0517_,21.86
cpu_inst.regfile_inst.registers\[5\]\[16\],21.84
_2355_,21.76
cpu_inst.regfile_inst.registers\[4\]\[22\],21.74
cpu_inst.decoder_inst.current_pc\[23\],21.715
_1076_,21.62
cpu_inst.regfile_inst.registers\[1\]\[6\],21.62
cpu_inst.regfile_inst.registers\[8\]\[12\],21.52
_2342_,21.5
cpu_inst.regfile_inst.registers\[9\]\[24\],21.44
_1790_,21.42
cpu_inst.regfile_inst.registers\[8\]\[16\],21.42
_1677_,21.38
cpu_inst.display_inst.counter\[11\],21.38
cpu_inst.regfile_inst.registers\[8\]\[8\],21.38
_2275_,21.36
cpu_inst.regfile_inst.registers\[5\]\[21\],21.36
_2364_,21.26
cpu_inst.regfile_inst.registers\[0\]\[4\],21.25
cpu_inst.regfile_inst.registers\[25\]\[24\],21.24
_1703_,21.22
cpu_inst.decoder_inst.current_pc\[24\],21.11
_1369_,21.1
_1849_,21.045
cpu_inst.regfile_inst.registers\[7\]\[29\],21.04
cpu_inst.regfile_inst.registers\[5\]\[26\],20.9
_1356_,20.82
cpu_inst.display_inst.counter\[4\],20.8
_1728_,20.74
_0888_,20.72
_1718_,20.7
cpu_inst.regfile_inst.registers\[5\]\[12\],20.66
cpu_inst.regfile_inst.registers\[8\]\[24\],20.66
_1781_,20.65
_1016_,20.64
cpu_inst.regfile_inst.registers\[4\]\[24\],20.59
_1375_,20.56
_1810_,20.54
cpu_inst.decoder_inst.current_pc\[10\],20.54
cpu_inst.regfile_inst.registers\[6\]\[17\],20.54
_1442_,20.48
_1437_,20.46
_0503_,20.455
cpu_inst.regfile_inst.registers\[24\]\[0\],20.4
cpu_inst.regfile_inst.registers\[8\]\[15\],20.4
_1298_,20.38
_1640_,20.36
cpu_inst.regfile_inst.registers\[4\]\[4\],20.32
_0681_,20.24
cpu_inst.regfile_inst.registers\[10\]\[9\],20.24
_1474_,20.22
_1559_,20.2
_0508_,20.12
_0500_,20.1
_0607_,20.1
_1583_,19.98
_0920_,19.86
_1513_,19.84
cpu_inst.regfile_inst.registers\[10\]\[20\],19.82
cpu_inst.regfile_inst.registers\[10\]\[22\],19.82
cpu_inst.regfile_inst.registers\[8\]\[25\],19.82
_1499_,19.78
cpu_inst.regfile_inst.registers\[6\]\[14\],19.78
cpu_inst.regfile_inst.registers\[5\]\[1\],19.76
_1580_,19.74
_1747_,19.74
cpu_inst.regfile_inst.registers\[4\]\[23\],19.66
_1633_,19.63
cpu_inst.decoder_inst.current_pc\[22\],19.6
