net,length_um
net34,76.94
_1615_,76.74
clknet_leaf_34_CLK,76.74
_3298_,76.62
clknet_leaf_57_CLK,76.38
clknet_leaf_89_CLK,76.34
clknet_leaf_9_CLK,76.02
clknet_leaf_15_CLK,75.9
_2978_,75.72
clknet_leaf_76_CLK,75.48
_2420_,75.18
clknet_leaf_59_CLK,75
_2215_,74.84
_3365_,74.72
net72,74.6
_2794_,74.52
clknet_leaf_44_CLK,74.18
clknet_leaf_32_CLK,73.88
_2690_,73.8
clknet_leaf_80_CLK,73.74
clknet_leaf_1_CLK,73.52
clknet_leaf_19_CLK,73.46
_2407_,73.3
clknet_leaf_75_CLK,73.23
clknet_leaf_25_CLK,72.42
_2498_,72.18
clknet_leaf_6_CLK,72.04
clknet_leaf_74_CLK,71.76
clknet_leaf_79_CLK,71.3
_1226_,70.86
_2694_,70.66
clknet_leaf_64_CLK,70.16
_3378_,70.08
_2524_,70.07
clknet_leaf_35_CLK,69.58
_2628_,69.54
_2348_,69.2
_2405_,69.08
clknet_leaf_51_CLK,68.94
_2527_,68.88
_2828_,68.84
clknet_leaf_81_CLK,68.7
clknet_leaf_30_CLK,68.62
_2509_,68.38
_2765_,68.375
_2768_,68.26
_2230_,68.06
A2[1],67.86
_2717_,67.68
net138,67.52
_2681_,67.18
_1833_,67.06
_2604_,66.97
_2820_,66.22
_2675_,65.9
_2518_,65.64
_2239_,65.62
clknet_leaf_65_CLK,65.56
_2683_,65.42
clknet_leaf_4_CLK,65.02
_2642_,64.3
_2711_,63.68
_1529_,63.5
_2261_,63.38
_2107_,63.28
clknet_leaf_83_CLK,63.26
clknet_leaf_69_CLK,63.16
clknet_leaf_88_CLK,63.1
_2238_,63.04
_3053_,62.86
clknet_leaf_91_CLK,62.78
_2250_,62.5
_1522_,62.46
_2203_,62.34
clknet_leaf_53_CLK,62.28
_2512_,62.22
_2829_,62
_1751_,61.86
_2235_,61.66
_1317_,61.6
A2[0],61.54
_2466_,61.42
net23,61.4
clknet_leaf_48_CLK,61.04
_2847_,60.82
_2303_,60.74
clknet_leaf_50_CLK,60.5
_2748_,60.44
_1361_,60.34
clknet_leaf_13_CLK,59.85
_2950_,59.56
clknet_leaf_92_CLK,59.46
net29,59.28
_2298_,59.18
_2264_,59.08
_2222_,59.02
_2559_,59
_2778_,58.96
_2417_,58.86
_2661_,58.74
_2572_,58.65
net113,58.3
_2409_,58.18
net7,58.02
_2422_,57.86
_2831_,57.56
_1251_,57.44
_2746_,57.4
_2986_,56.98
rf.registers\[13\]\[23\],56.92
_2192_,56.86
_2513_,56.8
_2005_,56.76
clknet_leaf_94_CLK,56.54
_2919_,56.48
_2885_,56.3
_2732_,55.9
rf.registers\[17\]\[25\],55.9
_2625_,55.72
_2790_,55.72
_3054_,55.6
_1879_,55.28
clknet_leaf_66_CLK,55.04
_1292_,54.97
_3092_,54.92
net49,54.74
_2776_,54.5
clknet_leaf_55_CLK,54.08
_2955_,54.02
_1909_,53.9
_2308_,53.88
_2223_,53.84
_2384_,53.44
_1055_,53.3
_2444_,53.06
clknet_leaf_58_CLK,52.92
clknet_leaf_52_CLK,52.8
clknet_leaf_85_CLK,52.52
_2282_,52.34
_2898_,52.34
_2207_,52.19
_2856_,52.08
_2506_,51.94
net135,51.94
clknet_leaf_77_CLK,51.87
_2338_,51.82
_2592_,51.7
_2624_,51.7
rf.registers\[1\]\[27\],51.64
_2330_,51.54
_2411_,51.5
net21,51.48
clknet_leaf_24_CLK,51.42
_2593_,51.24
_2648_,51.22
_2320_,51.21
_2069_,51.12
_2309_,50.9
clknet_leaf_21_CLK,50.88
_2414_,50.7
_2313_,50.66
_2523_,50.44
_2556_,50.24
_2646_,50.12
_2335_,50.06
_2669_,49.5
_2440_,49.46
clknet_leaf_14_CLK,49.38
_3129_,49.24
_2344_,49.1
_2224_,48.7
_1508_,48.62
clknet_leaf_3_CLK,48.62
_2325_,48.48
_3203_,48.26
_2837_,48.02
_2156_,47.98
_2626_,47.96
_2257_,47.86
_1753_,47.66
_2503_,47.62
_2801_,47.58
_1847_,47.2
clknet_leaf_78_CLK,46.9
_2903_,46.82
_2750_,46.78
_2943_,46.74
_2566_,46.56
_2291_,46.445
_2452_,46.22
_2893_,45.77
_1989_,45.74
rf.registers\[20\]\[16\],45.54
_2178_,45.5
_1863_,45.26
_2460_,45.12
_2762_,44.66
_2697_,44.5
_1973_,44.34
_2696_,44.3
net74,44.16
_2956_,44.1
_1444_,44
_2473_,43.9
rf.registers\[15\]\[6\],43.85
_2726_,43.82
_2228_,43.8
_2597_,43.78
_2387_,43.58
_1893_,43.46
_2627_,43.44
_2401_,43.4
_1364_,43.3
_2781_,43.14
rf.registers\[21\]\[25\],43.06
_2280_,43
_2331_,42.96
_2739_,42.96
_2553_,42.82
_2300_,42.78
_2262_,42.64
_1499_,42.62
_1743_,42.52
_2347_,42.32
_2862_,42.3
_1574_,42.22
_2605_,42.03
